seed1_weight,seed2_weight,seed3_weight,digit_acc,sequence_acc,correct_sequences
0.0,0.0,1.0,0.9997666478157043,0.9987000226974487,9987
0.0,0.1,0.9,0.9997833371162415,0.9987999796867371,9988
0.0,0.2,0.8,0.9997833371162415,0.9987999796867371,9988
0.0,0.3,0.7,0.9998499751091003,0.9991000294685364,9991
0.0,0.4,0.6,0.999833345413208,0.9990000128746033,9990
0.0,0.5,0.5,0.999833345413208,0.9990000128746033,9990
0.0,0.6,0.4,0.999833345413208,0.9991000294685364,9991
0.0,0.7,0.3,0.999833345413208,0.9991000294685364,9991
0.0,0.8,0.2,0.999833345413208,0.9991000294685364,9991
0.0,0.9,0.1,0.9998166561126709,0.9990000128746033,9990
0.0,1.0,0.0,0.999750018119812,0.9986000061035156,9986
0.1,0.0,0.9,0.9997833371162415,0.9987999796867371,9988
0.1,0.1,0.8,0.9997833371162415,0.9987999796867371,9988
0.1,0.2,0.7,0.9998166561126709,0.9988999962806702,9989
0.1,0.3,0.6,0.9998166561126709,0.9988999962806702,9989
0.1,0.4,0.5,0.9998166561126709,0.9988999962806702,9989
0.1,0.5,0.4,0.9998000264167786,0.9988999962806702,9989
0.1,0.6,0.3,0.9998166561126709,0.9990000128746033,9990
0.1,0.7,0.2,0.9998166561126709,0.9990000128746033,9990
0.1,0.8,0.1,0.9997833371162415,0.9987999796867371,9988
0.1,0.9,0.0,0.9997666478157043,0.9987000226974487,9987
0.2,0.0,0.8,0.9998000264167786,0.9988999962806702,9989
0.2,0.1,0.7,0.9998000264167786,0.9988999962806702,9989
0.2,0.2,0.6,0.9998166561126709,0.9988999962806702,9989
0.2,0.3,0.5,0.9998166561126709,0.9988999962806702,9989
0.2,0.4,0.4,0.9998166561126709,0.9988999962806702,9989
0.2,0.5,0.3,0.9998166561126709,0.9990000128746033,9990
0.2,0.6,0.2,0.999833345413208,0.9991000294685364,9991
0.2,0.7,0.1,0.9997833371162415,0.9987999796867371,9988
0.2,0.8,0.0,0.9997666478157043,0.9987000226974487,9987
0.3,0.0,0.7,0.9998000264167786,0.9988999962806702,9989
0.3,0.1,0.6,0.9998000264167786,0.9988999962806702,9989
0.3,0.2,0.5,0.9998000264167786,0.9987999796867371,9988
0.3,0.3,0.4,0.9998166561126709,0.9988999962806702,9989
0.3,0.4,0.3,0.9998166561126709,0.9990000128746033,9990
0.3,0.5,0.2,0.9998000264167786,0.9988999962806702,9989
0.3,0.6,0.1,0.9998000264167786,0.9988999962806702,9989
0.3,0.7,0.0,0.9997833371162415,0.9987999796867371,9988
0.4,0.0,0.6,0.9998166561126709,0.9990000128746033,9990
0.4,0.1,0.5,0.9997833371162415,0.9987999796867371,9988
0.4,0.2,0.4,0.9998000264167786,0.9987999796867371,9988
0.4,0.3,0.3,0.9998166561126709,0.9988999962806702,9989
0.4,0.4,0.2,0.9998000264167786,0.9988999962806702,9989
0.4,0.5,0.1,0.9997833371162415,0.9987999796867371,9988
0.4,0.6,0.0,0.9998000264167786,0.9988999962806702,9989
0.5,0.0,0.5,0.999833345413208,0.9991000294685364,9991
0.5,0.1,0.4,0.9997833371162415,0.9987999796867371,9988
0.5,0.2,0.3,0.9998000264167786,0.9987999796867371,9988
0.5,0.3,0.2,0.9998000264167786,0.9987999796867371,9988
0.5,0.4,0.1,0.9997833371162415,0.9987999796867371,9988
0.5,0.5,0.0,0.9997833371162415,0.9987999796867371,9988
0.6,0.0,0.4,0.9998000264167786,0.9988999962806702,9989
0.6,0.1,0.3,0.9998000264167786,0.9987999796867371,9988
0.6,0.2,0.2,0.9997833371162415,0.9987000226974487,9987
0.6,0.3,0.1,0.9997833371162415,0.9987999796867371,9988
0.6,0.4,0.0,0.9997833371162415,0.9987999796867371,9988
0.7,0.0,0.3,0.9998000264167786,0.9987999796867371,9988
0.7,0.1,0.2,0.9997833371162415,0.9987000226974487,9987
0.7,0.2,0.1,0.9998000264167786,0.9987999796867371,9988
0.7,0.3,0.0,0.9997833371162415,0.9987999796867371,9988
0.8,0.0,0.2,0.9997833371162415,0.9987000226974487,9987
0.8,0.1,0.1,0.9997833371162415,0.9987000226974487,9987
0.8,0.2,0.0,0.9998000264167786,0.9987999796867371,9988
0.9,0.0,0.1,0.9997666478157043,0.9986000061035156,9986
0.9,0.1,0.0,0.9997833371162415,0.9987000226974487,9987
1.0,0.0,0.0,0.9997666478157043,0.9986000061035156,9986
